text_cleaning,slang_removal,tokenization,stemming,stopword_removal,final
tenang nder kan ada chatgpt,tenang nder kan ada chatgpt,"['tenang', 'nder', 'kan', 'ada', 'chatgpt']","['tenang', 'nder', 'kan', 'ada', 'chatgpt']","['tenang', 'chatgpt']",tenang chatgpt
udah mah skrg dah ada kasus karya pk chatgpt kasus plagiarism malah ikutan naik aja,sudah mah sekarang sudah ada kasus karya pk chatgpt kasus plagiarisme malah inovasi naik aja,"['sudah', 'mah', 'sekarang', 'sudah', 'ada', 'kasus', 'karya', 'pk', 'chatgpt', 'kasus', 'plagiarisme', 'malah', 'inovasi', 'naik', 'aja']","['sudah', 'mah', 'sekarang', 'sudah', 'ada', 'kasus', 'karya', 'pk', 'chatgpt', 'kasus', 'plagiarisme', 'malah', 'inovasi', 'naik', 'aja']","['karya', 'chatgpt', 'plagiarisme', 'inovasi', 'aja']",karya chatgpt plagiarisme inovasi aja
helpp gimana caranya reset chatgpt punyaku makin tolil gk jelass aaaa,help bagaimana caranya reset chatgpt punyaku makin tolol enggak jelas aaaa,"['help', 'bagaimana', 'caranya', 'reset', 'chatgpt', 'punyaku', 'makin', 'tolol', 'enggak', 'jelas', 'aaaa']","['help', 'bagaimana', 'cara', 'reset', 'chatgpt', 'punya', 'makin', 'tolol', 'enggak', 'jelas', 'aaaa']","['help', 'reset', 'chatgpt', 'tolol']",help reset chatgpt tolol
chatgpt tolol masa bekasi kgk tau najis,chatgpt tolol masak bekasi kagak tahu najis,"['chatgpt', 'tolol', 'masak', 'bekasi', 'kagak', 'tahu', 'najis']","['chatgpt', 'tolol', 'masak', 'bekas', 'kagak', 'tahu', 'najis']","['chatgpt', 'tolol', 'masak', 'bekas', 'kagak', 'najis']",chatgpt tolol masak bekas kagak najis
semenjak banyak org seliweran salkir bot stiker takutma jugaaaa chat bot ku trust issue wkwkkw,semenjak banyak orang seliweran salah kirim bot stiker takut juga chat bot ku kepercayaan masalah wkwkkw,"['semenjak', 'banyak', 'orang', 'seliweran', 'salah', 'kirim', 'bot', 'stiker', 'takut', 'juga', 'chat', 'bot', 'ku', 'kepercayaan', 'masalah', 'wkwkkw']","['semenjak', 'banyak', 'orang', 'seliwer', 'salah', 'kirim', 'bot', 'stiker', 'takut', 'juga', 'chat', 'bot', 'ku', 'percaya', 'masalah', 'wkwkkw']","['semenjak', 'orang', 'seliwer', 'salah', 'kirim', 'bot', 'stiker', 'takut', 'chat', 'bot', 'ku', 'percaya']",semenjak orang seliwer salah kirim bot stiker takut chat bot ku percaya
ai bisa bantu banget dalam belajar bahasa arab bikin prosesnya jadi lebih efisien dan efektif misalnya kita bisa pake chatbot ai buat bikin pengalaman belajar makin seru dan atasi masalah teknologi buat mahasiswa,kecerdasan buatan bisa bantu banget dalam belajar bahasa arab bikin prosesnya jadi lebih efisien dan efektif misalnya kita bisa pakai chatbot kecerdasan buatan buat bikin pengalaman belajar makin seru dan atasi masalah teknologi buat mahasiswa,"['kecerdasan', 'buatan', 'bisa', 'bantu', 'banget', 'dalam', 'belajar', 'bahasa', 'arab', 'bikin', 'prosesnya', 'jadi', 'lebih', 'efisien', 'dan', 'efektif', 'misalnya', 'kita', 'bisa', 'pakai', 'chatbot', 'kecerdasan', 'buatan', 'buat', 'bikin', 'pengalaman', 'belajar', 'makin', 'seru', 'dan', 'atasi', 'masalah', 'teknologi', 'buat', 'mahasiswa']","['cerdas', 'buat', 'bisa', 'bantu', 'banget', 'dalam', 'ajar', 'bahasa', 'arab', 'bikin', 'proses', 'jadi', 'lebih', 'efisien', 'dan', 'efektif', 'misal', 'kita', 'bisa', 'pakai', 'chatbot', 'cerdas', 'buat', 'buat', 'bikin', 'alam', 'ajar', 'makin', 'seru', 'dan', 'atas', 'masalah', 'teknologi', 'buat', 'mahasiswa']","['cerdas', 'bantu', 'banget', 'ajar', 'bahasa', 'arab', 'bikin', 'proses', 'efisien', 'efektif', 'pakai', 'chatbot', 'cerdas', 'bikin', 'alam', 'ajar', 'seru', 'teknologi', 'mahasiswa']",cerdas bantu banget ajar bahasa arab bikin proses efisien efektif pakai chatbot cerdas bikin alam ajar seru teknologi mahasiswa
sumpah merindingg beneran takutt liat chat bot itu tapi endingnya nangis,sumpah merinding sungguhan takut liat chat bot itu tapi akhirnya nangis,"['sumpah', 'merinding', 'sungguhan', 'takut', 'liat', 'chat', 'bot', 'itu', 'tapi', 'akhirnya', 'nangis']","['sumpah', 'merinding', 'sungguh', 'takut', 'liat', 'chat', 'bot', 'itu', 'tapi', 'akhir', 'nang']","['sumpah', 'merinding', 'sungguh', 'takut', 'liat', 'chat', 'bot', 'nang']",sumpah merinding sungguh takut liat chat bot nang
bucin padahal cuma chat minggu di bot anon tapi lupainnya susah amat ya,budak cinta padahal cuma chat minggu di bot segera tapi lupakannya susah amat iya,"['budak', 'cinta', 'padahal', 'cuma', 'chat', 'minggu', 'di', 'bot', 'segera', 'tapi', 'lupakannya', 'susah', 'amat', 'iya']","['budak', 'cinta', 'padahal', 'cuma', 'chat', 'minggu', 'di', 'bot', 'segera', 'tapi', 'lupa', 'susah', 'amat', 'iya']","['budak', 'cinta', 'chat', 'minggu', 'bot', 'lupa', 'susah', 'iya']",budak cinta chat minggu bot lupa susah iya
cari top orang bali asli dm ya yang bot jgn chat,cari teratas orang bali asli direct message iya yang bot jangan chat,"['cari', 'teratas', 'orang', 'bali', 'asli', 'direct', 'message', 'iya', 'yang', 'bot', 'jangan', 'chat']","['cari', 'atas', 'orang', 'bal', 'asli', 'direct', 'message', 'iya', 'yang', 'bot', 'jangan', 'chat']","['cari', 'orang', 'bal', 'asli', 'direct', 'message', 'iya', 'bot', 'chat']",cari orang bal asli direct message iya bot chat
jelang ulang tahun akun weverse jisung nct malah jadi bot sikap random jisung nct kembali mencuri perhatian dengan mengubah akun weverse-nya menjadi seperti akun chat bot netizen ramai berkomentar terkejut dengan kejutan menjelang ulang tahunnya apa reaksi kalian,jelang ulang tahun akun weverse jisung nct malah jadi bot sikap random jisung nct kembali mencuri perhatian dengan mengubah akun weverse-nya menjadi seperti akun chat bot netizen ramai berkomentar terkejut dengan kejutan menjelang ulang tahunnya apa reaksi kalian,"['jelang', 'ulang', 'tahun', 'akun', 'weverse', 'jisung', 'nct', 'malah', 'jadi', 'bot', 'sikap', 'random', 'jisung', 'nct', 'kembali', 'mencuri', 'perhatian', 'dengan', 'mengubah', 'akun', 'weverse-nya', 'menjadi', 'seperti', 'akun', 'chat', 'bot', 'netizen', 'ramai', 'berkomentar', 'terkejut', 'dengan', 'kejutan', 'menjelang', 'ulang', 'tahunnya', 'apa', 'reaksi', 'kalian']","['jelang', 'ulang', 'tahun', 'akun', 'weverse', 'jisung', 'nct', 'malah', 'jadi', 'bot', 'sikap', 'random', 'jisung', 'nct', 'kembali', 'curi', 'perhati', 'dengan', 'ubah', 'akun', 'weverse-nya', 'jadi', 'seperti', 'akun', 'chat', 'bot', 'netizen', 'ramai', 'komentar', 'kejut', 'dengan', 'kejut', 'jelang', 'ulang', 'tahun', 'apa', 'reaksi', 'kalian']","['jelang', 'ulang', 'akun', 'jisung', 'bot', 'sikap', 'random', 'jisung', 'curi', 'perhati', 'ubah', 'akun', 'akun', 'chat', 'bot', 'netizen', 'ramai', 'komentar', 'kejut', 'kejut', 'jelang', 'ulang', 'reaksi']",jelang ulang akun jisung bot sikap random jisung curi perhati ubah akun akun chat bot netizen ramai komentar kejut kejut jelang ulang reaksi
cara chat indosat tapi bukan bot gimana ya,cara chat indosat tapi bukan bot bagaimana iya,"['cara', 'chat', 'indosat', 'tapi', 'bukan', 'bot', 'bagaimana', 'iya']","['cara', 'chat', 'indosat', 'tapi', 'bukan', 'bot', 'bagaimana', 'iya']","['chat', 'indosat', 'bot', 'iya']",chat indosat bot iya
aku butuh pertolongan kalian nih guysss ada yang paham cara setting timer di chatbot streamelements gak aku gak paham aku udah setting timernya tapi gak pernah keluar di live chat aku bingung,aku butuh pertolongan kalian nih guysss ada yang paham cara setel pengatur waktu di chatbot elemen aliran tidak aku tidak paham aku sudah setel pengatur waktunya tapi tidak pernah keluar di hidup chat aku bingung,"['aku', 'butuh', 'pertolongan', 'kalian', 'nih', 'guysss', 'ada', 'yang', 'paham', 'cara', 'setel', 'pengatur', 'waktu', 'di', 'chatbot', 'elemen', 'aliran', 'tidak', 'aku', 'tidak', 'paham', 'aku', 'sudah', 'setel', 'pengatur', 'waktunya', 'tapi', 'tidak', 'pernah', 'keluar', 'di', 'hidup', 'chat', 'aku', 'bingung']","['aku', 'butuh', 'tolong', 'kalian', 'nih', 'guysss', 'ada', 'yang', 'paham', 'cara', 'setel', 'atur', 'waktu', 'di', 'chatbot', 'elemen', 'alir', 'tidak', 'aku', 'tidak', 'paham', 'aku', 'sudah', 'setel', 'atur', 'waktu', 'tapi', 'tidak', 'pernah', 'keluar', 'di', 'hidup', 'chat', 'aku', 'bingung']","['butuh', 'tolong', 'paham', 'setel', 'atur', 'chatbot', 'elemen', 'alir', 'paham', 'setel', 'atur', 'hidup', 'chat', 'bingung']",butuh tolong paham setel atur chatbot elemen alir paham setel atur hidup chat bingung
kebanyakan bot sedih ga punya temen chat,kebanyakan bot sedih tidak punya teman chat,"['kebanyakan', 'bot', 'sedih', 'tidak', 'punya', 'teman', 'chat']","['banyak', 'bot', 'sedih', 'tidak', 'punya', 'teman', 'chat']","['bot', 'sedih', 'teman', 'chat']",bot sedih teman chat
butuh lebih banyak point cxt chat bot bebas tanyain apa yg ingin kamu tanyain,butuh lebih banyak poin cxt chat bot bebas tanyakan apa yang ingin kamu tanyakan,"['butuh', 'lebih', 'banyak', 'poin', 'cxt', 'chat', 'bot', 'bebas', 'tanyakan', 'apa', 'yang', 'ingin', 'kamu', 'tanyakan']","['butuh', 'lebih', 'banyak', 'poin', 'cxt', 'chat', 'bot', 'bebas', 'tanya', 'apa', 'yang', 'ingin', 'kamu', 'tanya']","['butuh', 'poin', 'chat', 'bot', 'bebas']",butuh poin chat bot bebas
bot stiker wa mana lg yg harus ku chat,bot stiker whatsapp mana lagi yang harus ku chat,"['bot', 'stiker', 'whatsapp', 'mana', 'lagi', 'yang', 'harus', 'ku', 'chat']","['bot', 'stiker', 'whatsapp', 'mana', 'lagi', 'yang', 'harus', 'ku', 'chat']","['bot', 'stiker', 'whatsapp', 'ku', 'chat']",bot stiker whatsapp ku chat
salah satu fitur keren analitica yang gak ada di platform lain adalah ica ai chatbot jadi fitur ini tuh bisa ngejelasin pembahasan yang rumit jadi mudah dipahami dengan bahasa kita sehari-hari dan bisa diajak diskusi juga looh,salah satu fitur keren analitis yang tidak ada di platform lain adalah ica kecerdasan buatan chatbot jadi fitur ini tuh bisa menjelaskan pembahasan yang rumit jadi mudah dipahami dengan bahasa kita sehari-hari dan bisa diajak diskusi juga looh,"['salah', 'satu', 'fitur', 'keren', 'analitis', 'yang', 'tidak', 'ada', 'di', 'platform', 'lain', 'adalah', 'ica', 'kecerdasan', 'buatan', 'chatbot', 'jadi', 'fitur', 'ini', 'tuh', 'bisa', 'menjelaskan', 'pembahasan', 'yang', 'rumit', 'jadi', 'mudah', 'dipahami', 'dengan', 'bahasa', 'kita', 'sehari-hari', 'dan', 'bisa', 'diajak', 'diskusi', 'juga', 'looh']","['salah', 'satu', 'fitur', 'keren', 'analitis', 'yang', 'tidak', 'ada', 'di', 'platform', 'lain', 'adalah', 'ica', 'cerdas', 'buat', 'chatbot', 'jadi', 'fitur', 'ini', 'tuh', 'bisa', 'jelas', 'bahas', 'yang', 'rumit', 'jadi', 'mudah', 'paham', 'dengan', 'bahasa', 'kita', 'hari', 'dan', 'bisa', 'ajak', 'diskusi', 'juga', 'looh']","['salah', 'fitur', 'keren', 'analitis', 'platform', 'ica', 'cerdas', 'chatbot', 'fitur', 'bahas', 'rumit', 'mudah', 'paham', 'bahasa', 'ajak', 'diskusi']",salah fitur keren analitis platform ica cerdas chatbot fitur bahas rumit mudah paham bahasa ajak diskusi
temen-temen ada yang bisa bantu aku ga tolongin mba aku dia diancam sama manusia cabul dan nyebarin identitasnya kronologinya mbakku ini main bot anon tele awalnya ga aneh-aneh ya kaya chat orang normal biasanya,teman-teman ada yang bisa bantu aku tidak tolong mbak aku dia diancam sama manusia cabul dan menyebarkan identitasnya kronologinya mbakku ini main bot segera telegram awalnya tidak aneh-aneh iya kaya chat orang normal biasanya,"['teman-teman', 'ada', 'yang', 'bisa', 'bantu', 'aku', 'tidak', 'tolong', 'mbak', 'aku', 'dia', 'diancam', 'sama', 'manusia', 'cabul', 'dan', 'menyebarkan', 'identitasnya', 'kronologinya', 'mbakku', 'ini', 'main', 'bot', 'segera', 'telegram', 'awalnya', 'tidak', 'aneh-aneh', 'iya', 'kaya', 'chat', 'orang', 'normal', 'biasanya']","['teman', 'ada', 'yang', 'bisa', 'bantu', 'aku', 'tidak', 'tolong', 'mbak', 'aku', 'dia', 'ancam', 'sama', 'manusia', 'cabul', 'dan', 'sebar', 'identitas', 'kronologi', 'mbak', 'ini', 'main', 'bot', 'segera', 'telegram', 'awal', 'tidak', 'aneh', 'iya', 'kaya', 'chat', 'orang', 'normal', 'biasa']","['teman', 'bantu', 'tolong', 'mbak', 'ancam', 'manusia', 'cabul', 'sebar', 'identitas', 'kronologi', 'mbak', 'main', 'bot', 'telegram', 'aneh', 'iya', 'kaya', 'chat', 'orang', 'normal']",teman bantu tolong mbak ancam manusia cabul sebar identitas kronologi mbak main bot telegram aneh iya kaya chat orang normal
korang korang boleh guna link ni untuk check klinik prep terdekat contact prep navigator order free hiv self-test kit cari ngo terdekat dan check your mental health using chatbot,korang korang boleh guna tautan ni untuk memeriksa klinik prep terdekat kontak prep navigator pesan gratis human immunodeficiency virus self-test kit cari ngo terdekat dan memeriksa kamu mental kesehatan menggunakan chatbot,"['korang', 'korang', 'boleh', 'guna', 'tautan', 'ni', 'untuk', 'memeriksa', 'klinik', 'prep', 'terdekat', 'kontak', 'prep', 'navigator', 'pesan', 'gratis', 'human', 'immunodeficiency', 'virus', 'self-test', 'kit', 'cari', 'ngo', 'terdekat', 'dan', 'memeriksa', 'kamu', 'mental', 'kesehatan', 'menggunakan', 'chatbot']","['korang', 'korang', 'boleh', 'guna', 'taut', 'ni', 'untuk', 'periksa', 'klinik', 'prep', 'dekat', 'kontak', 'prep', 'navigator', 'pesan', 'gratis', 'human', 'immunodeficiency', 'virus', 'self-test', 'kit', 'cari', 'ngo', 'dekat', 'dan', 'periksa', 'kamu', 'mental', 'sehat', 'guna', 'chatbot']","['taut', 'periksa', 'klinik', 'kontak', 'navigator', 'pesan', 'gratis', 'human', 'immunodeficiency', 'virus', 'self-test', 'kit', 'cari', 'periksa', 'mental', 'sehat', 'chatbot']",taut periksa klinik kontak navigator pesan gratis human immunodeficiency virus self-test kit cari periksa mental sehat chatbot
salam silakan dipastikan kembali tagihan iuran telah lunas sebelum melakukan pelaporan penonaktifan sahabat dapat cek tagihan iuran melalui layanan care center atau chatbot chika chat assistant jkn melalui whatsapp di link terima kasih bara,salam silakan dipastikan kembali tagihan iuran telah lunas sebelum melakukan pelaporan penonaktifan sahabat dapat cek tagihan iuran melalui layanan peduli tengah atau chatbot chika chat asisten jkn melalui whatsapp di tautan terima kasih bara,"['salam', 'silakan', 'dipastikan', 'kembali', 'tagihan', 'iuran', 'telah', 'lunas', 'sebelum', 'melakukan', 'pelaporan', 'penonaktifan', 'sahabat', 'dapat', 'cek', 'tagihan', 'iuran', 'melalui', 'layanan', 'peduli', 'tengah', 'atau', 'chatbot', 'chika', 'chat', 'asisten', 'jkn', 'melalui', 'whatsapp', 'di', 'tautan', 'terima', 'kasih', 'bara']","['salam', 'sila', 'pasti', 'kembali', 'tagih', 'iur', 'telah', 'lunas', 'belum', 'laku', 'lapor', 'nonaktif', 'sahabat', 'dapat', 'cek', 'tagih', 'iur', 'lalu', 'layan', 'peduli', 'tengah', 'atau', 'chatbot', 'chika', 'chat', 'asisten', 'jkn', 'lalu', 'whatsapp', 'di', 'taut', 'terima', 'kasih', 'bara']","['salam', 'sila', 'tagih', 'iur', 'lunas', 'laku', 'lapor', 'nonaktif', 'sahabat', 'cek', 'tagih', 'iur', 'layan', 'peduli', 'chatbot', 'chika', 'chat', 'asisten', 'whatsapp', 'taut', 'terima', 'kasih', 'bara']",salam sila tagih iur lunas laku lapor nonaktif sahabat cek tagih iur layan peduli chatbot chika chat asisten whatsapp taut terima kasih bara
diweb info pemilu ada kak aku dapat info dari chat bot kpu,di web info pemilu ada kak aku dapat info dari chat bot komisi pemilihan umum,"['di', 'web', 'info', 'pemilu', 'ada', 'kak', 'aku', 'dapat', 'info', 'dari', 'chat', 'bot', 'komisi', 'pemilihan', 'umum']","['di', 'web', 'info', 'pemilu', 'ada', 'kak', 'aku', 'dapat', 'info', 'dari', 'chat', 'bot', 'komisi', 'pilih', 'umum']","['web', 'info', 'pemilu', 'kak', 'info', 'chat', 'bot', 'komisi', 'pilih']",web info pemilu kak info chat bot komisi pilih
aplikasi ai chatbot terbaik,aplikasi kecerdasan buatan chatbot terbaik,"['aplikasi', 'kecerdasan', 'buatan', 'chatbot', 'terbaik']","['aplikasi', 'cerdas', 'buat', 'chatbot', 'baik']","['aplikasi', 'cerdas', 'chatbot']",aplikasi cerdas chatbot
ada lowongan chatbot analyst di shopee lalu saya coba analisa kecocokkan antara resume saya di dengan kualifikasi yang dibutuhkan minta untuk diberikan score skala sampai ternyata hasilnya segini,ada lowongan chatbot analis di shopee lalu saya coba analisis kecocokkan antara melanjutkan saya di dengan kualifikasi yang dibutuhkan minta untuk diberikan skor skala sampai ternyata hasilnya segini,"['ada', 'lowongan', 'chatbot', 'analis', 'di', 'shopee', 'lalu', 'saya', 'coba', 'analisis', 'kecocokkan', 'antara', 'melanjutkan', 'saya', 'di', 'dengan', 'kualifikasi', 'yang', 'dibutuhkan', 'minta', 'untuk', 'diberikan', 'skor', 'skala', 'sampai', 'ternyata', 'hasilnya', 'segini']","['ada', 'lowong', 'chatbot', 'analis', 'di', 'shopee', 'lalu', 'saya', 'coba', 'analisis', 'cocok', 'antara', 'lanjut', 'saya', 'di', 'dengan', 'kualifikasi', 'yang', 'butuh', 'minta', 'untuk', 'beri', 'skor', 'skala', 'sampai', 'nyata', 'hasil', 'gin']","['lowong', 'chatbot', 'analis', 'shopee', 'coba', 'analisis', 'cocok', 'kualifikasi', 'butuh', 'skor', 'skala', 'nyata', 'hasil', 'gin']",lowong chatbot analis shopee coba analisis cocok kualifikasi butuh skor skala nyata hasil gin
kalau lebih kontekstual terkait indonesia jawaban nya,kalau lebih kontekstual terkait indonesia jawaban nya,"['kalau', 'lebih', 'kontekstual', 'terkait', 'indonesia', 'jawaban', 'nya']","['kalau', 'lebih', 'kontekstual', 'kait', 'indonesia', 'jawab', 'nya']","['kontekstual', 'kait', 'indonesia']",kontekstual kait indonesia
